contract_code,option_side,strike_price,bid,ask,delta,underlying_spot
US.CPB260807C16000,CALL,16.0,4.8,8.9,0.0,22.96
US.CPB260807C17000,CALL,17.0,3.8,7.9,0.0,22.96
US.CPB260807C17500,CALL,17.5,3.2,7.4,0.0,22.96
US.CPB260807C18000,CALL,18.0,2.75,6.9,0.0,22.96
US.CPB260807C18500,CALL,18.5,2.3,6.4,0.0,22.96
US.CPB260807C19000,CALL,19.0,1.8,5.9,0.0,22.96
US.CPB260807C19500,CALL,19.5,1.35,5.4,0.0,22.96
US.CPB260807C20000,CALL,20.0,0.8,4.9,0.0,22.96
US.CPB260807C20500,CALL,20.5,0.35,4.5,0.0,22.96
US.CPB260807C21000,CALL,21.0,0.9,2.65,0.0,22.96
US.CPB260807C21500,CALL,21.5,1.05,3.4,0.695255802,22.96
US.CPB260807C22000,CALL,22.0,0.9,2.05,0.685819849,22.96
US.CPB260807C22500,CALL,22.5,0.6,0.8,0.685729036,22.96
US.CPB260807C23000,CALL,23.0,0.35,0.55,0.503499739,22.96
US.CPB260807C23500,CALL,23.5,0.25,0.35,0.355401795,22.96
US.CPB260807C24000,CALL,24.0,0.1,0.2,0.217858303,22.96
US.CPB260807C24500,CALL,24.5,0.05,0.15,0.146581835,22.96
US.CPB260807C25000,CALL,25.0,0.0,2.2,0.109275602,22.96
US.CPB260807C25500,CALL,25.5,0.0,0.95,0.06534253,22.96
US.CPB260807C26000,CALL,26.0,0.0,1.05,0.037081619,22.96
US.CPB260807C26500,CALL,26.5,0.0,0.05,0.020072214,22.96
US.CPB260807C27000,CALL,27.0,0.0,2.15,0.010303147,22.96
US.CPB260807C28000,CALL,28.0,0.0,2.15,0.002384673,22.96
US.CPB260807C29000,CALL,29.0,0.0,2.15,0.000482734,22.96
US.CPB260807C30000,CALL,30.0,0.0,2.15,0.00023395,22.96
US.CPB260807P14000,PUT,14.0,0.0,0.15,-0.000124222,22.96
US.CPB260807P15000,PUT,15.0,0.0,0.25,-0.000142527,22.96
US.CPB260807P16000,PUT,16.0,0.0,0.25,-0.000165434,22.96
US.CPB260807P17000,PUT,17.0,0.0,2.15,-0.00079829,22.96
US.CPB260807P17500,PUT,17.5,0.0,0.15,-0.001705507,22.96
US.CPB260807P18000,PUT,18.0,0.0,0.05,-0.003209847,22.96
US.CPB260807P18500,PUT,18.5,0.0,2.15,-0.005993153,22.96
US.CPB260807P19000,PUT,19.0,0.0,2.15,-0.044080046,22.96
US.CPB260807P19500,PUT,19.5,0.0,2.15,-0.01952047,22.96
US.CPB260807P20000,PUT,20.0,0.0,0.05,-0.034072907,22.96
US.CPB260807P20500,PUT,20.5,0.0,0.05,-0.058093449,22.96
US.CPB260807P21000,PUT,21.0,0.05,0.1,-0.09545691,22.96
US.CPB260807P21500,PUT,21.5,0.05,0.15,-0.135005866,22.96
US.CPB260807P22000,PUT,22.0,0.05,0.25,-0.2058353,22.96
US.CPB260807P22500,PUT,22.5,0.1,0.35,-0.316990762,22.96
US.CPB260807P23000,PUT,23.0,0.15,0.6,-0.501538183,22.96
US.CPB260807P23500,PUT,23.5,0.05,2.1,-0.587616148,22.96
US.CPB260807P24000,PUT,24.0,0.15,2.05,-0.847611507,22.96
US.CPB260807P24500,PUT,24.5,0.55,3.6,-0.677750701,22.96
US.CPB260807P25000,PUT,25.0,0.75,4.4,-0.704408929,22.96
US.CPB260807P25500,PUT,25.5,1.25,4.8,-0.736137087,22.96
US.CPB260807P26000,PUT,26.0,1.4,5.2,-0.815871932,22.96
US.CPB260807P26500,PUT,26.5,2.1,5.7,-0.797305171,22.96
US.CPB260807P27000,PUT,27.0,2.1,6.2,-0.898617525,22.96
US.CPB260807P28000,PUT,28.0,3.3,7.2,-0.869592948,22.96
US.CPB260807P29000,PUT,29.0,4.1,8.2,-0.917798528,22.96
US.CPB260807P30000,PUT,30.0,5.3,9.2,-0.88858043,22.96
US.CPB260814C14000,CALL,14.0,6.8,10.9,0.0,22.96
US.CPB260814C15000,CALL,15.0,5.8,9.3,0.0,22.96
US.CPB260814C16000,CALL,16.0,4.8,8.5,0.0,22.96
US.CPB260814C17000,CALL,17.0,3.8,7.9,0.0,22.96
US.CPB260814C17500,CALL,17.5,3.3,7.4,0.0,22.96
US.CPB260814C18000,CALL,18.0,2.75,6.9,0.0,22.96
US.CPB260814C18500,CALL,18.5,2.3,6.4,0.0,22.96
US.CPB260814C19000,CALL,19.0,1.85,6.0,0.0,22.96
US.CPB260814C19500,CALL,19.5,1.35,5.5,0.0,22.96
US.CPB260814C20000,CALL,20.0,0.9,4.9,0.0,22.96
US.CPB260814C20500,CALL,20.5,0.95,4.6,0.83154347,22.96
US.CPB260814C21000,CALL,21.0,1.0,4.0,0.759115864,22.96
US.CPB260814C21500,CALL,21.5,1.3,1.9,0.862773439,22.96
US.CPB260814C22000,CALL,22.0,0.8,1.95,0.710452382,22.96
US.CPB260814C22500,CALL,22.5,0.75,1.1,0.634077171,22.96
US.CPB260814C23000,CALL,23.0,0.55,0.65,0.512597306,22.96
US.CPB260814C23500,CALL,23.5,0.3,0.5,0.386021788,22.96
US.CPB260814C24000,CALL,24.0,0.0,0.5,0.26440569,22.96
US.CPB260814C24500,CALL,24.5,0.1,0.25,0.19799232,22.96
US.CPB260814C25000,CALL,25.0,0.05,0.2,0.144381478,22.96
US.CPB260814C25500,CALL,25.5,0.0,0.15,0.08620442,22.96
US.CPB260814C26000,CALL,26.0,0.0,0.3,0.054336404,22.96
US.CPB260814C26500,CALL,26.5,0.0,2.2,0.03313636,22.96
US.CPB260814C27000,CALL,27.0,0.0,2.15,0.019509172,22.96
US.CPB260814C27500,CALL,27.5,0.0,0.3,0.011159487,22.96
US.CPB260814C28000,CALL,28.0,0.0,2.15,0.006230316,22.96
US.CPB260814C28500,CALL,28.5,0.0,2.15,0.00336743,22.96
US.CPB260814C29000,CALL,29.0,0.0,2.15,0.001765893,22.96
US.CPB260814C30000,CALL,30.0,0.0,2.15,0.000431149,22.96
US.CPB260814P14000,PUT,14.0,0.0,0.25,-0.001922918,22.96
US.CPB260814P15000,PUT,15.0,0.0,0.25,-0.00407722,22.96
US.CPB260814P16000,PUT,16.0,0.0,0.85,-0.008281874,22.96
US.CPB260814P17000,PUT,17.0,0.0,0.4,-0.039141996,22.96
US.CPB260814P17500,PUT,17.5,0.0,0.55,-0.022338618,22.96
US.CPB260814P18000,PUT,18.0,0.0,1.55,-0.030641246,22.96
US.CPB260814P18500,PUT,18.5,0.0,2.15,-0.041722542,22.96
US.CPB260814P19000,PUT,19.0,0.0,2.15,-0.056422634,22.96
US.CPB260814P19500,PUT,19.5,0.0,0.15,-0.075864173,22.96
US.CPB260814P20000,PUT,20.0,0.0,0.3,-0.101420025,22.96
US.CPB260814P20500,PUT,20.5,0.05,0.25,-0.122276285,22.96
US.CPB260814P21000,PUT,21.0,0.0,0.2,-0.140368371,22.96
US.CPB260814P21500,PUT,21.5,0.15,0.3,-0.200177432,22.96
US.CPB260814P22000,PUT,22.0,0.0,0.4,-0.230929674,22.96
US.CPB260814P22500,PUT,22.5,0.25,0.8,-0.380173777,22.96
US.CPB260814P23000,PUT,23.0,0.25,1.25,-0.485196163,22.96
US.CPB260814P23500,PUT,23.5,0.45,1.7,-0.58363369,22.96
US.CPB260814P24000,PUT,24.0,1.05,1.8,-0.671177025,22.96
US.CPB260814P24500,PUT,24.5,0.65,3.5,-0.674020111,22.96
US.CPB260814P25000,PUT,25.0,0.8,4.4,-0.695674455,22.96
US.CPB260814P25500,PUT,25.5,1.3,4.7,-0.73818797,22.96
US.CPB260814P26000,PUT,26.0,1.7,5.3,-0.754714879,22.96
US.CPB260814P26500,PUT,26.5,1.65,5.7,-0.873017057,22.96
US.CPB260814P27000,PUT,27.0,2.65,6.2,-0.797611644,22.96
US.CPB260814P27500,PUT,27.5,2.9,6.7,-0.841777173,22.96
US.CPB260814P28000,PUT,28.0,3.5,7.2,-0.834487778,22.96
US.CPB260814P28500,PUT,28.5,3.8,7.7,-0.870933128,22.96
US.CPB260814P29000,PUT,29.0,4.3,8.2,-0.876008862,22.96
US.CPB260814P30000,PUT,30.0,5.2,9.2,-0.90077801,22.96
US.CPB260821C14000,CALL,14.0,6.8,10.9,0.0,22.96
US.CPB260821C15000,CALL,15.0,5.8,9.9,0.0,22.96
US.CPB260821C16000,CALL,16.0,5.4,8.3,0.0,22.96
US.CPB260821C17000,CALL,17.0,4.0,7.7,0.0,22.96
US.CPB260821C17500,CALL,17.5,3.3,7.4,0.0,22.96
US.CPB260821C18000,CALL,18.0,3.2,6.9,0.965183729,22.96
US.CPB260821C18500,CALL,18.5,2.5,6.5,0.0,22.96
US.CPB260821C19000,CALL,19.0,2.5,5.8,0.913545642,22.96
US.CPB260821C19500,CALL,19.5,2.0,4.8,0.0,22.96
US.CPB260821C20000,CALL,20.0,1.55,4.4,0.0,22.96
US.CPB260821C20500,CALL,20.5,1.1,4.6,0.816565299,22.96
US.CPB260821C21000,CALL,21.0,1.05,2.45,0.0,22.96
US.CPB260821C21500,CALL,21.5,1.55,2.85,0.703539686,22.96
US.CPB260821C22000,CALL,22.0,1.25,1.6,0.704577642,22.96
US.CPB260821C22500,CALL,22.5,0.65,1.1,0.64955242,22.96
US.CPB260821C23000,CALL,23.0,0.7,0.85,0.519836519,22.96
US.CPB260821C23500,CALL,23.5,0.4,0.6,0.408747077,22.96
US.CPB260821C24000,CALL,24.0,0.35,0.45,0.326635324,22.96
US.CPB260821C24500,CALL,24.5,0.2,0.3,0.235639995,22.96
US.CPB260821C25000,CALL,25.0,0.1,0.2,0.160481844,22.96
US.CPB260821C25500,CALL,25.5,0.05,0.15,0.113183075,22.96
US.CPB260821C26000,CALL,26.0,0.05,0.1,0.085373275,22.96
US.CPB260821C26500,CALL,26.5,0.0,0.1,0.078147835,22.96
US.CPB260821C27000,CALL,27.0,0.0,0.25,0.054219263,22.96
US.CPB260821C28000,CALL,28.0,0.0,0.25,0.024558397,22.96
US.CPB260821C29000,CALL,29.0,0.0,0.1,0.010271988,22.96
US.CPB260821C30000,CALL,30.0,0.0,0.1,0.003983009,22.96
US.CPB260821C31000,CALL,31.0,0.0,0.75,0.001438609,22.96
US.CPB260821C32000,CALL,32.0,0.0,0.1,0.000512376,22.96
US.CPB260821P14000,PUT,14.0,0.0,0.25,-0.000119228,22.96
US.CPB260821P15000,PUT,15.0,0.0,0.25,-0.000136239,22.96
US.CPB260821P16000,PUT,16.0,0.0,2.15,-0.00015737,22.96
US.CPB260821P17000,PUT,17.0,0.0,0.15,-0.000916599,22.96
US.CPB260821P17500,PUT,17.5,0.0,1.1,-0.002306082,22.96
US.CPB260821P18000,PUT,18.0,0.0,0.75,-0.005699287,22.96
US.CPB260821P18500,PUT,18.5,0.0,0.15,-0.012323907,22.96
US.CPB260821P19000,PUT,19.0,0.0,0.15,-0.024285027,22.96
US.CPB260821P19500,PUT,19.5,0.0,0.1,-0.055029913,22.96
US.CPB260821P20000,PUT,20.0,0.05,0.1,-0.071348778,22.96
US.CPB260821P20500,PUT,20.5,0.1,0.2,-0.121832283,22.96
US.CPB260821P21000,PUT,21.0,0.15,0.25,-0.16181712,22.96
US.CPB260821P21500,PUT,21.5,0.15,0.35,-0.208550114,22.96
US.CPB260821P22000,PUT,22.0,0.35,0.45,-0.293282636,22.96
US.CPB260821P22500,PUT,22.5,0.1,0.65,-0.354560743,22.96
US.CPB260821P23000,PUT,23.0,0.75,0.85,-0.481154807,22.96
US.CPB260821P23500,PUT,23.5,0.3,1.15,-0.670879418,22.96
US.CPB260821P24000,PUT,24.0,1.05,1.65,-0.688406521,22.96
US.CPB260821P24500,PUT,24.5,0.7,4.0,-0.625920711,22.96
US.CPB260821P25000,PUT,25.0,1.15,3.1,-0.860347638,22.96
US.CPB260821P25500,PUT,25.5,1.6,4.8,-0.694660008,22.96
US.CPB260821P26000,PUT,26.0,2.05,5.4,-0.707087722,22.96
US.CPB260821P26500,PUT,26.5,2.15,5.1,-0.895333929,22.96
US.CPB260821P27000,PUT,27.0,2.8,5.6,-0.865789387,22.96
US.CPB260821P28000,PUT,28.0,4.0,7.2,-0.774330856,22.96
US.CPB260821P29000,PUT,29.0,4.6,8.2,-0.830942226,22.96
US.CPB260821P30000,PUT,30.0,6.0,9.2,-0.80045859,22.96
US.CPB260821P31000,PUT,31.0,6.1,10.0,-0.977558991,22.96
US.CPB260821P32000,PUT,32.0,7.7,11.0,-0.867946913,22.96
US.CPB260828C14000,CALL,14.0,7.0,10.9,0.0,22.96
US.CPB260828C15000,CALL,15.0,6.0,9.9,0.0,22.96
US.CPB260828C16000,CALL,16.0,5.0,8.9,0.0,22.96
US.CPB260828C17000,CALL,17.0,4.0,8.0,0.0,22.96
US.CPB260828C17500,CALL,17.5,3.5,7.5,0.0,22.96
US.CPB260828C18000,CALL,18.0,2.85,7.0,0.0,22.96
US.CPB260828C18500,CALL,18.5,2.6,6.5,0.970889244,22.96
US.CPB260828C19000,CALL,19.0,1.9,6.0,0.0,22.96
US.CPB260828C19500,CALL,19.5,1.4,5.6,0.0,22.96
US.CPB260828C20000,CALL,20.0,1.45,4.7,0.943578353,22.96
US.CPB260828C20500,CALL,20.5,1.0,4.2,0.918541311,22.96
US.CPB260828C21000,CALL,21.0,0.75,2.65,0.0,22.96
US.CPB260828C21500,CALL,21.5,1.25,2.2,0.813273289,22.96
US.CPB260828C22000,CALL,22.0,1.05,1.7,0.721802259,22.96
US.CPB260828C22500,CALL,22.5,0.95,1.3,0.617881733,22.96
US.CPB260828C23000,CALL,23.0,0.75,0.95,0.524259362,22.96
US.CPB260828C23500,CALL,23.5,0.55,0.7,0.429828114,22.96
US.CPB260828C24000,CALL,24.0,0.35,0.55,0.341131567,22.96
US.CPB260828C24500,CALL,24.5,0.2,0.45,0.26533737,22.96
US.CPB260828C25000,CALL,25.0,0.15,0.35,0.20988959,22.96
US.CPB260828C25500,CALL,25.5,0.0,0.45,0.159703707,22.96
US.CPB260828C26000,CALL,26.0,0.05,0.45,0.175256245,22.96
US.CPB260828C26500,CALL,26.5,0.0,0.7,0.091085121,22.96
US.CPB260828C27000,CALL,27.0,0.0,2.2,0.06571791,22.96
US.CPB260828C27500,CALL,27.5,0.0,2.2,0.046639874,22.96
US.CPB260828C28000,CALL,28.0,0.0,0.4,0.032556464,22.96
US.CPB260828C29000,CALL,29.0,0.0,2.0,0.015142785,22.96
US.CPB260828C30000,CALL,30.0,0.0,0.4,0.006619335,22.96
US.CPB260828P14000,PUT,14.0,0.0,2.15,-0.018061215,22.96
US.CPB260828P15000,PUT,15.0,0.0,2.15,-0.025695645,22.96
US.CPB260828P16000,PUT,16.0,0.0,2.15,-0.035947111,22.96
US.CPB260828P17000,PUT,17.0,0.0,2.15,-0.049542009,22.96
US.CPB260828P17500,PUT,17.5,0.0,2.15,-0.057955208,22.96
US.CPB260828P18000,PUT,18.0,0.0,2.15,-0.067592153,22.96
US.CPB260828P18500,PUT,18.5,0.0,2.2,-0.078628293,22.96
US.CPB260828P19000,PUT,19.0,0.0,0.3,-0.091352311,22.96
US.CPB260828P19500,PUT,19.5,0.0,0.3,-0.105971182,22.96
US.CPB260828P20000,PUT,20.0,0.0,0.45,-0.127179631,22.96
US.CPB260828P20500,PUT,20.5,0.0,0.45,-0.125751062,22.96
US.CPB260828P21000,PUT,21.0,0.2,0.35,-0.187276019,22.96
US.CPB260828P21500,PUT,21.5,0.3,0.5,-0.249718435,22.96
US.CPB260828P22000,PUT,22.0,0.25,0.7,-0.306674094,22.96
US.CPB260828P22500,PUT,22.5,0.65,1.35,-0.406745984,22.96
US.CPB260828P23000,PUT,23.0,0.35,1.55,-0.475674674,22.96
US.CPB260828P23500,PUT,23.5,1.0,1.4,-0.56080787,22.96
US.CPB260828P24000,PUT,24.0,1.2,2.25,-0.606863413,22.96
US.CPB260828P24500,PUT,24.5,1.15,2.5,-0.731566326,22.96
US.CPB260828P25000,PUT,25.0,0.8,4.0,-0.735851287,22.96
US.CPB260828P25500,PUT,25.5,1.45,4.9,-0.696281073,22.96
US.CPB260828P26000,PUT,26.0,1.2,5.3,-0.821091898,22.96
US.CPB260828P26500,PUT,26.5,2.2,5.6,-0.786209264,22.96
US.CPB260828P27000,PUT,27.0,2.6,5.9,-0.842680575,22.96
US.CPB260828P27500,PUT,27.5,3.1,6.8,-0.794452305,22.96
US.CPB260828P28000,PUT,28.0,3.6,6.9,-0.857767806,22.96
US.CPB260828P29000,PUT,29.0,4.2,8.2,-0.886019604,22.96
US.CPB260828P30000,PUT,30.0,5.1,9.2,-0.912738588,22.96
US.CPB260904C14000,CALL,14.0,6.8,10.9,0.0,22.96
US.CPB260904C15000,CALL,15.0,5.8,9.9,0.0,22.96
US.CPB260904C16000,CALL,16.0,5.0,8.9,0.0,22.96
US.CPB260904C17000,CALL,17.0,4.0,8.0,0.0,22.96
US.CPB260904C17500,CALL,17.5,3.5,7.5,0.0,22.96
US.CPB260904C18000,CALL,18.0,3.0,7.0,0.0,22.96
US.CPB260904C18500,CALL,18.5,2.4,6.5,0.0,22.96
US.CPB260904C19000,CALL,19.0,1.95,6.1,0.0,22.96
US.CPB260904C19500,CALL,19.5,1.9,5.4,0.917522658,22.96
US.CPB260904C20000,CALL,20.0,1.4,4.9,0.909002865,22.96
